"","state","state_election_term","partyname_short","landtag_state_abb","electoralperiod","ppg","link_notes"
"518","ST",2,"SPD","st",2,"SPD",NA
"519","ST",3,"CDU","st",3,"CDU",NA
"520","ST",3,"DVU","st",3,"DVU",NA
"521","ST",3,NA,"st",3,"DVU - FL","Split from DVU"
"522","ST",3,NA,"st",3,"FDVP","Split from DVU"
"523","ST",3,"Linke","st",3,"PDS",NA
"524","ST",3,"SPD","st",3,"SPD",NA
"525","ST",3,NA,"st",3,"fraktionslos",NA
"526","ST",4,"CDU","st",4,"CDU",NA
"527","ST",4,"FDP","st",4,"FDP",NA
"528","ST",4,"Linke","st",4,"PDS",NA
"529","ST",4,"SPD","st",4,"SPD",NA
"530","ST",5,"CDU","st",5,"CDU",NA
"531","ST",5,"Linke","st",5,"Die Linke",NA
"532","ST",5,"FDP","st",5,"FDP",NA
"533","ST",5,"SPD","st",5,"SPD",NA
"534","ST",5,NA,"st",5,"fraktionslos",NA
"535","ST",6,"Grüne","st",6,"Bündnis 90/Die Grünen",NA
"536","ST",6,"CDU","st",6,"CDU",NA
"537","ST",6,"Linke","st",6,"Die Linke",NA
"538","ST",6,"SPD","st",6,"SPD",NA
"539","ST",7,"AfD","st",7,"AfD",NA
"540","ST",7,"Grüne","st",7,"Bündnis 90/Die Grünen",NA
"541","ST",7,"CDU","st",7,"CDU",NA
"542","ST",7,"Linke","st",7,"Die Linke",NA
"543","ST",7,"SPD","st",7,"SPD",NA
"544","ST",7,NA,"st",7,"fraktionslos",NA
"545","TH",1,"CDU","th",1,"CDU",NA
"546","TH",1,NA,"th",1,"DJ","Ran on Green List"
"547","TH",1,"FDP","th",1,"FDP",NA
"548","TH",1,"Grüne","th",1,"GRÜNE",NA
"549","TH",1,NA,"th",1,"NF","Ran on Green List"
"550","TH",1,"Linke","th",1,"PDS",NA
"551","TH",1,"SPD","th",1,"SPD",NA
"552","TH",1,NA,"th",1,"fraktionslos",NA
"553","TH",2,"CDU","th",2,"CDU",NA
"554","TH",2,"Linke","th",2,"PDS",NA
"555","TH",2,"SPD","th",2,"SPD",NA
"556","TH",3,"CDU","th",3,"CDU",NA
"557","TH",3,"Linke","th",3,"PDS",NA
"558","TH",3,"SPD","th",3,"SPD",NA
"559","TH",4,"CDU","th",4,"CDU",NA
"560","TH",4,"Linke","th",4,"Die Linke",NA
"561","TH",4,"SPD","th",4,"SPD",NA
"562","TH",5,"CDU","th",5,"CDU",NA
"563","TH",5,"Linke","th",5,"Die Linke",NA
"564","TH",5,"FDP","th",5,"FDP",NA
"565","TH",5,"Grüne","th",5,"GRÜNE",NA
"566","TH",5,"SPD","th",5,"SPD",NA
"567","TH",6,"AfD","th",6,"AfD",NA
"568","TH",6,"CDU","th",6,"CDU",NA
"569","TH",6,"Linke","th",6,"Die Linke",NA
"570","TH",6,"Grüne","th",6,"GRÜNE",NA
"571","TH",6,"SPD","th",6,"SPD",NA
"572","TH",6,NA,"th",6,"fraktionslos",NA
